Total attrs: 57375
past greats	过去的伟人
maxtemp	maxtemp
Prototype gauge	原型测量仪
no._of_priest	no._of_priest
season_name	season_name
Linguasphere	linguasphere
Leading Role	主导作用
chamber1_leader4_type	chamber1_leader4_type
government_body_type	government_body_type
Lower School Principal	下小学校长
Station President	电台总裁
restricted-ammunition-synopsis	受限弹药概要
sevens	七
Television specials	电视特别节目
career milestone	职业里程碑
Western	西方
Velodrome	赛车场
operating season	作业季节
Successor	继承人
goldNOC	goldnoc
challe_cup	challe_cup
MTVAsiaN	mtvasian
instrument_6_name	instrument_6_name
birth year	出生年份
team1_captain	team1_captain
length (exc. wagons)	长度（等车）
surpanch_name	surpanch_name
Fabrication by	制造
mottokor	mottokor
number-3	number-3
history website	历史网站
TV partner(s)	电视合作伙伴
enddate	结束日期
Left-handed tuning	左交调
Tag Line	标签线
nall team	所有的团队
current firmware version	当前固件版本
casino_type	casino_type
Oct precipitation mm	月降水量
streaming chan 1	流陈1
lastodiyear	lastodiyear
appointer8	appointer8
appointer9	appointer9
appointer4	appointer4
appointer5	appointer5
appointer6	appointer6
appointer7	appointer7
appointer1	appointer1
appointer2	appointer2
appointer3	appointer3
Based In	基于
Wythoff symbol	威所夫的象征
Directed By	导演
re-recording	再记录
BSS Race Wins	BSS的胜利
image_mapsize	image_mapsize
Official Feast	正式宴会
Pop. density	流行音乐。密度
prod_design_date	prod_design_date
othrtitles	othrtitles
stateleague	stateleague
Producer and Engineer	生产商和工程师
Home ground	家庭地面
script associate	脚本关联
numeral	数字
song_translation	song_translation
grand children	大孩子
undergraduate degrees	本科学位
average_flow_rate	average_flow_rate
color_code	color_code
Total expenditures	总开支
titles2	titles2
english names	英文名
affiliates	分支机构
Seminaries	神学院
operation_income	operation_income
EIRP	EIRP
business areas	业务领域
pattern_sk1	pattern_sk1
School board	学校董事会
affiliated	附属
Footnotes	脚注
Manger	经理
error1	错误值1
error2	2
kids	孩子们
telescope15_name	telescope15_name
costume designes by	服装设计的
density_sq-mi	density_sq-mi
URL 2	网址2
URL 1	网址1
Justice party	正义党
collapse_standards_and_traits	collapse_standards_and_traits
golden	金
Women's coach	女子教练
Fighting style	战斗风格
CommonDraftedPick	commondraftedpick
area_water_sq-mi	area_water_sq-mi
´starring	´主演
MS Head	女士头
promote_from2	promote_from2
l logo	标识
p46	P46
p45	P45
Additional features	附加功能
p43	P43
p42	P42
p41	P41
p40	P40
Western Open	西方开放
Ship note	船舶注记
remove_date	remove_date
Co-processor	协处理器
interchange_names	interchange_names
RNext	远方近端串扰损耗
Calcutta Cup	加尔各答杯
GeneReviewsName	genereviewsname
music	音乐
InChI	闪点
Lit capacity	点燃能力
Meetings total	会议总数
image-caption	图像标题
Magic number	魔数
skewness	偏度
extinct_date	extinct_date
college_logo	college_logo
Insurance 3	保险3
Insurance 2	保险2
